"","STOPPED","IDENTIFIED","ILLEGAL","ILL_EXP_INSP","ILL_EXP_RETURN","MIXE","NEWS","GLAS","STCN","ALCN","PLBT","HOUSE","RECY","DRY","DISP","LA_W","CPI","RPI","GDP_MARKET","POP","DWEL","CTDR","WATE","WATP","Tax","Fee_Land","Incin","EA_Tot_Enforc","EA_Illegal","EA_Illegal_exp","EA_Tot_Enforc_1Q","EA_Illegal_1Q","EA_Illegal_exp_1Q","EA_Tot_2Q"
"DWEL",0.309589126071162,0.64813298714488,0.727062018030495,0,0,0.13116865219374,0.180808321040981,-0.0298281732144035,0.667230103102347,0.233698884244088,-0.536857080651708,0.156854835957599,0.975351199493853,0.916103573632012,-0.998672076445163,-0.116221868797961,0.981984145478985,0.980352904277547,0.968908339827636,0.993223616987125,1,0.317742924772679,0.444857053155658,-0.496178519268128,0.982153848897452,-0.340986528897347,0.811803703169561,0.578121415437589,0.498586001125561,0.755731882794705,0.463304998415575,0.48458626519596,0.745997061234467,0.798834968770886
"CTDR",0,0.377546540550379,-0.814613752280214,0,0,1,1,1,1,1,1,0,0,0,0,0,0.50073507986063,0.914332463761958,0.9940542942811,0.422248134296049,0.317742924772679,1,0.326127866258724,0.791790890622248,0.254839920535542,-0.791790890622248,1,0,0,0,0,0,0,0
"WATE",0.049974266268992,0.0994036698111314,0.619322257158787,0.174384881067216,-0.3796344789165,0.185462226021075,0.189868971858713,-0.0297360262756605,0.540505015579436,0.419025435371976,-0.285144008321534,-0.0573889990425111,0.326468751313106,0.747453973907383,-0.748758038357298,-0.0933559581703871,0.664725994484779,0.711266567952478,0.76442478467496,0.49608909735655,0.444857053155658,0.326127866258724,1,0.302118768525063,0.594934787109746,0.0782684382766155,0.82583555672262,-0.0588412755992516,0.0771033464582308,0.442876754916211,0.0286216515080452,0.116846137363703,0.560667067497404,0.133480929883484
"WATP",0.161993017364313,0.0427542681224499,0.0096851233956105,-0.0955925857487788,-0.359231739712882,0.292331346026134,0.400845436213689,0.0864719851680178,0.265264099624182,0.406103129000035,0.201883729982626,-0.0278379483690076,-0.0171652883827789,-0.135332431780728,0.0946090166812656,0.00275708044712452,0.0631148784583997,0.0661635062525354,0.0657800474508155,-0.497431137591868,-0.496178519268128,0.791790890622248,0.302118768525063,1,0.291159752616193,0.174127307682065,0.104122397560269,0.114334397651292,0.149500689694741,0.10035867629881,-0.0389527720715887,-0.0453558785602554,0.0213434450036686,0.00583938879604036
"Tax",0.556332707026703,0.292650828427812,0.643972914717218,0,0,0.111318580838951,0.137165381975201,0.0608722845929191,0.583575893494938,0.391983411790539,-0.413486620761393,-0.049534869190608,0.318729507252859,0.882930330538262,-0.782966532569686,-0.0970962704083244,0.964966117091861,0.934253991158095,0.870858804248747,0.970913691853999,0.982153848897452,0.254839920535542,0.594934787109746,0.291159752616193,1,-0.139880847959619,0.730180078794882,0.213608330874729,0.342498463149106,0.585246917378328,0.224445361023632,0.318375257820223,0.66674755510082,0.369046264632192
"Fee_Land",0.0368894960496594,-0.157949151686731,-0.060709682122001,0.121639028122887,-0.695777831391678,0.234828164529865,0.115383400591392,-0.230249297423077,-0.0673800140054342,0.109213435717989,0.29055777405322,-0.0638102738310207,0.0730259701098601,0.129389108931834,0.0063500038384216,-0.0664113329002939,-0.0589539466535407,-0.0310623446409095,-0.166983888121285,-0.334601438787842,-0.340986528897347,-0.791790890622248,0.0782684382766155,0.174127307682065,-0.139880847959619,1,0.176749743158437,0.087634212460636,0.273380466790618,-0.00273661969250418,-0.110788414192079,-0.0143542029414025,-0.0519983268495287,0.109005790942079
"Incin",-0.0776724420086171,-0.277855331412479,0.703492236305179,0.101400221391148,-0.748242742519049,0.22113954132856,0.159406397932968,-0.148021611608915,0.405796999626147,0.37893053765571,-0.00886714673327758,0.0953386862795851,0.246934563280721,0.473311033885856,-0.534241934553051,0.0761781850397467,0.791331166569312,0.835460029075568,0.885011842168638,0.82308432600552,0.811803703169561,1,0.82583555672262,0.104122397560269,0.730180078794882,0.176749743158437,1,-0.39365316305989,-0.0806629984066664,0.153949077873306,-0.491897101051738,-0.351989809429397,0.321301751083623,-0.379998676679144
"EA_Tot_Enforc",0.581543254642857,0.05951706727698,-0.23561942634932,-0.282297638768075,0.338956777392952,-0.140574128919621,-0.0273599937164664,0.468306198819176,0.456877572365603,-0.141987135098312,-0.452419120392354,-0.279899444566907,-0.0577949394302277,0.54540192579014,-0.241473356888054,-0.300985618534065,0.110699663694352,0.0378108198741663,-0.184073862474821,0.558333745440653,0.578121415437589,0,-0.0588412755992516,0.114334397651292,0.213608330874729,0.087634212460636,-0.39365316305989,1,0.885429642109033,0.253133065166585,0.600860250069084,0.616205851324409,0.053813247416829,0.856960779747174
"EA_Illegal",0.545883521894405,-0.0657391981987675,-0.0280880938820277,-0.177945359098135,-0.0186498891648804,-0.149382723441878,-0.0405867080589232,0.411796481453755,0.432142585589958,-0.123520805680473,-0.461800398894763,-0.390472799505965,-0.137498473697558,0.534207621171105,-0.206569019788979,-0.410984966502562,0.280669314323844,0.249696552469657,-0.0690438530860847,0.48011089525243,0.498586001125561,0,0.0771033464582308,0.149500689694741,0.342498463149106,0.273380466790618,-0.0806629984066664,0.885429642109033,1,0.15978165339549,0.356067138094917,0.416844505921002,0.0492784875779844,0.820247640250924
"EA_Illegal_exp",0.375496111477767,-0.173283515807551,0.196356510250926,-0.335703467432571,-0.158882833635119,-0.601363131734678,-0.694115822099984,0.550107971915284,-0.324433957653944,-0.449826194913058,-0.659597968897124,-0.39619670069842,-0.171852632669986,0.587340374412335,-0.314346632708058,-0.410678123798978,0.513020156164704,0.489746228624469,0.545705429648205,0.742043781648149,0.755731882794705,0,0.442876754916211,0.10035867629881,0.585246917378328,-0.00273661969250418,0.153949077873306,0.253133065166585,0.15978165339549,1,0.285308791678739,0.30438697138453,0.507818451459879,0.317349574678446
"EA_Tot_Enforc_1Q",0.487741117465212,0.0822663682412202,-0.166708281961736,-0.264562249248728,0.438396166277744,-0.331654581893498,-0.27547979209727,0.658337961556217,0.169526895319816,-0.309385591576192,-0.617603646282857,0.022696074665754,0.190612748512706,0.608231075077678,-0.477536793158095,0.0266799545617794,0.102701948023098,0.00537308723991724,-0.0730750967849994,0.439619904122593,0.463304998415575,0,0.0286216515080452,-0.0389527720715887,0.224445361023632,-0.110788414192079,-0.491897101051738,0.600860250069084,0.356067138094917,0.285308791678739,1,0.955702709865376,0.227453865568702,0.914088492685509
"EA_Illegal_1Q",0.477160901505094,0.107249451588872,-0.0899509526699214,-0.230058427516137,0.232219593583201,-0.326693949946215,-0.301795079763526,0.63553537183711,0.186220364166592,-0.311237241233764,-0.630710266555622,-0.0780551207715276,0.0809490116148426,0.672366686162898,-0.399629971914505,-0.0749018320385157,0.195314407880684,0.109110384099167,0.000875263945605753,0.456969079140585,0.48458626519596,0,0.116846137363703,-0.0453558785602554,0.318375257820223,-0.0143542029414025,-0.351989809429397,0.616205851324409,0.416844505921002,0.30438697138453,0.955702709865376,1,0.247526776898149,0.878932218225086
"EA_Illegal_exp_1Q",0.318859646985969,-0.175393685836894,0.437678908947763,-0.303446861825515,0.175190269509647,-0.471205032034682,-0.60116157485168,0.575627051514818,-0.183986565444252,-0.407242466167689,-0.59951680622752,0.0727806263665958,0.165200692504602,0.604128627989065,-0.463639505738254,0.0704686313821225,0.589822010708666,0.577754077345472,0.626141377111534,0.733043074644997,0.745997061234467,0,0.560667067497404,0.0213434450036686,0.66674755510082,-0.0519983268495287,0.321301751083623,0.053813247416829,0.0492784875779844,0.507818451459879,0.227453865568702,0.247526776898149,1,0.147772461340644
"EA_Tot_2Q",0.622702769824193,0.0249073475921542,-0.126749933845791,-0.285477960642998,0.658983663743778,-0.242947718146299,-0.15323844819944,0.413729287932944,0.342158277781709,-0.25316298160816,-0.542365947980434,-0.268163235781129,0.0470957522592656,0.726150156789817,-0.441169355930534,-0.2985286063201,0.287664681532684,0.198169755706183,-2.58257945640691e-05,0.794407306894618,0.798834968770886,0,0.133480929883484,0.00583938879604036,0.369046264632192,0.109005790942079,-0.379998676679144,0.856960779747174,0.820247640250924,0.317349574678446,0.914088492685509,0.878932218225086,0.147772461340644,1
